model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,dim,name,value
,MomentMatch,,FKL,true,,4.0,6,exec_1,1,false,120.0,0,p0_MEAN,-0.4232151966193008
,MomentMatch,,FKL,true,,4.0,6,exec_1,1,false,120.0,1,p0_SOFTPLUS_VARIANCE,-4.198446856145047
,MomentMatch,,FKL,true,,4.0,6,exec_1,1,false,120.0,2,p1_MEAN,2.9281417366917353
,MomentMatch,,FKL,true,,4.0,6,exec_1,1,false,120.0,3,p1_SOFTPLUS_VARIANCE,-1.8784997221806794
,MomentMatch,,FKL,true,,4.0,6,exec_1,2,false,264.0,0,p0_MEAN,-0.3998450757641789
,MomentMatch,,FKL,true,,4.0,6,exec_1,2,false,264.0,1,p0_SOFTPLUS_VARIANCE,-4.712176289466996
,MomentMatch,,FKL,true,,4.0,6,exec_1,2,false,264.0,2,p1_MEAN,2.9141022777890804
,MomentMatch,,FKL,true,,4.0,6,exec_1,2,false,264.0,3,p1_SOFTPLUS_VARIANCE,-2.0367457211472035
,MomentMatch,,FKL,true,,4.0,6,exec_1,3,false,552.0,0,p0_MEAN,-0.4022188349625967
,MomentMatch,,FKL,true,,4.0,6,exec_1,3,false,552.0,1,p0_SOFTPLUS_VARIANCE,-4.970501662726207
,MomentMatch,,FKL,true,,4.0,6,exec_1,3,false,552.0,2,p1_MEAN,2.9932907277073664
,MomentMatch,,FKL,true,,4.0,6,exec_1,3,false,552.0,3,p1_SOFTPLUS_VARIANCE,-2.199183154680116
,MomentMatch,,FKL,true,,4.0,6,exec_1,4,false,1128.0,0,p0_MEAN,-0.3776549693022542
,MomentMatch,,FKL,true,,4.0,6,exec_1,4,false,1128.0,1,p0_SOFTPLUS_VARIANCE,-3.903186683892011
,MomentMatch,,FKL,true,,4.0,6,exec_1,4,false,1128.0,2,p1_MEAN,3.0870093524606097
,MomentMatch,,FKL,true,,4.0,6,exec_1,4,false,1128.0,3,p1_SOFTPLUS_VARIANCE,-1.732308922352332
,MomentMatch,,FKL,true,,4.0,6,exec_1,5,false,2304.0,0,p0_MEAN,-0.3737456238962657
,MomentMatch,,FKL,true,,4.0,6,exec_1,5,false,2304.0,1,p0_SOFTPLUS_VARIANCE,-3.6441988613342335
,MomentMatch,,FKL,true,,4.0,6,exec_1,5,false,2304.0,2,p1_MEAN,3.099253150422009
,MomentMatch,,FKL,true,,4.0,6,exec_1,5,false,2304.0,3,p1_SOFTPLUS_VARIANCE,-1.3490212986692776
,MomentMatch,,FKL,true,,4.0,6,exec_1,6,false,4656.0,0,p0_MEAN,-0.3343408953194353
,MomentMatch,,FKL,true,,4.0,6,exec_1,6,false,4656.0,1,p0_SOFTPLUS_VARIANCE,-3.530424220610628
,MomentMatch,,FKL,true,,4.0,6,exec_1,6,false,4656.0,2,p1_MEAN,3.235720954220055
,MomentMatch,,FKL,true,,4.0,6,exec_1,6,false,4656.0,3,p1_SOFTPLUS_VARIANCE,-1.2784916299879163
,MomentMatch,,FKL,true,,4.0,6,exec_1,7,false,9336.0,0,p0_MEAN,-0.3548794281731381
,MomentMatch,,FKL,true,,4.0,6,exec_1,7,false,9336.0,1,p0_SOFTPLUS_VARIANCE,-3.6338155116606616
,MomentMatch,,FKL,true,,4.0,6,exec_1,7,false,9336.0,2,p1_MEAN,3.161037210568794
,MomentMatch,,FKL,true,,4.0,6,exec_1,7,false,9336.0,3,p1_SOFTPLUS_VARIANCE,-1.3398720074740456
,MomentMatch,,FKL,true,,4.0,6,exec_1,8,false,18720.0,0,p0_MEAN,-0.35748590606905706
,MomentMatch,,FKL,true,,4.0,6,exec_1,8,false,18720.0,1,p0_SOFTPLUS_VARIANCE,-3.5707297768623527
,MomentMatch,,FKL,true,,4.0,6,exec_1,8,false,18720.0,2,p1_MEAN,3.174355967311802
,MomentMatch,,FKL,true,,4.0,6,exec_1,8,false,18720.0,3,p1_SOFTPLUS_VARIANCE,-1.2535847782971676
,MomentMatch,,FKL,true,,4.0,6,exec_1,9,false,37464.0,0,p0_MEAN,-0.3723031315057335
,MomentMatch,,FKL,true,,4.0,6,exec_1,9,false,37464.0,1,p0_SOFTPLUS_VARIANCE,-3.6388678329497903
,MomentMatch,,FKL,true,,4.0,6,exec_1,9,false,37464.0,2,p1_MEAN,3.1321235852223
,MomentMatch,,FKL,true,,4.0,6,exec_1,9,false,37464.0,3,p1_SOFTPLUS_VARIANCE,-1.3353435028363616
