"","algorithm","model","seed","ks_p","ks_stat"
"1","V--T*--F","phylo",6,0.00425254911196327,0.0127096109549346
"2","V--T*--F","phylo",1,0.258720100277409,0.00732329823821374
"3","V--T*--F","phylo",4,8.76575581090222e-05,0.0162307541612737
"4","V--T*--F","phylo",9,1.15474296791263e-12,0.0271986893677041
"5","V--T*--F","phylo",5,0,0.032168943630561
"6","V--T*--F","phylo",8,3.59966469742901e-07,0.0201914079553575
"7","V--T*--F","phylo",2,0.00213505524376223,0.0134023142818183
"8","V--T*--F","phylo",3,1.56743905344037e-06,0.0192112570702661
"9","V--T*--F","phylo",7,0.0487970301964146,0.00987303108999044
"10","V--T*--F","phylo",10,0.00289711372607493,0.0130999827323299
"11","V--T*--F","mining",6,0.278947058727378,0.00718630521390816
"12","V--T*--F","mining",1,0.439722229293312,0.00628288245833077
"13","V--T*--F","mining",4,0.393415043991841,0.00651770531975185
"14","V--T*--F","mining",9,0.635838662660117,0.00539709815061492
"15","V--T*--F","mining",5,0.537297523965858,0.00582724516110303
"16","V--T*--F","mining",8,0.261446291090419,0.00730436069292152
"17","V--T*--F","mining",2,0.222403022722915,0.00759093793585652
"18","V--T*--F","mining",3,0.067800129879014,0.00942561378425181
"19","V--T*--F","mining",7,0.731916751864589,0.00498159561344401
"20","V--T*--F","mining",10,0.783376915444215,0.00474997936751509
"21","V--T*--F","8-schools",6,0.142913653036905,0.00832217902802438
"22","V--T*--F","8-schools",1,0.579536903245923,0.00564068016896182
"23","V--T*--F","8-schools",4,0.555789332075981,0.00574501261876514
"24","V--T*--F","8-schools",9,0.309564013395216,0.00699148422757771
"25","V--T*--F","8-schools",5,0.17609338982906,0.0079855940345706
"26","V--T*--F","8-schools",8,0.589740384014589,0.0055962122089204
"27","V--T*--F","8-schools",2,0.0760318497839181,0.00926464721196009
"28","V--T*--F","8-schools",3,0.193555850293935,0.00782826298493854
"29","V--T*--F","8-schools",7,0.993404193601849,0.00308785946059972
"30","V--T*--F","8-schools",10,0.0784880132068491,0.00921948594992189
"31","V--T*--F","sparse-car",6,0.0198673130237452,0.0110030147123496
"32","V--T*--F","sparse-car",1,0.00194865836925651,0.0134914832193771
"33","V--T*--F","sparse-car",4,0.265019187024888,0.00727975897282326
"34","V--T*--F","sparse-car",9,0.229684695173878,0.00753478059912646
"35","V--T*--F","sparse-car",5,0.00338580113658371,0.0129428595732894
"36","V--T*--F","sparse-car",8,0.128145499522901,0.00849262518627319
"37","V--T*--F","sparse-car",2,0.704547227333197,0.0051011723315484
"38","V--T*--F","sparse-car",3,0.00114410116863084,0.0139999821061579
"39","V--T*--F","sparse-car",7,0.00268470850837543,0.0131760538125659
"40","V--T*--F","sparse-car",10,0.0269723041295393,0.0106320442650298
"41","V--T*--F","coll-rockets",6,0.913374520162309,0.00405124721347695
"42","V--T*--F","coll-rockets",1,0.271822005577489,0.00723382227762854
"43","V--T*--F","coll-rockets",4,0.882220295976354,0.00424630596763969
"44","V--T*--F","coll-rockets",9,0.764716660805511,0.00483531576763843
"45","V--T*--F","coll-rockets",5,0.933619328443606,0.00390405404917362
"46","V--T*--F","coll-rockets",8,0.153039564957231,0.00821336836736084
"47","V--T*--F","coll-rockets",2,0.491077992398068,0.00603776745001154
"48","V--T*--F","coll-rockets",3,0.000372955750769677,0.0150141582931042
"49","V--T*--F","coll-rockets",7,0.911016045391452,0.00406713690518397
"50","V--T*--F","coll-rockets",10,0.234278579672376,0.00750003949358697
"51","V--T*--F","mrna-no-transf",6,0.00308967128414306,0.013035347509769
"52","V--T*--F","mrna-no-transf",1,2.24640332568971e-06,0.0189637785096835
"53","V--T*--F","mrna-no-transf",4,4.8710319167089e-07,0.0199938205115461
"54","V--T*--F","mrna-no-transf",9,0.634722642612434,0.00540189638547654
"55","V--T*--F","mrna-no-transf",5,0.00384548445970645,0.0128131022166498
"56","V--T*--F","mrna-no-transf",8,8.96302025849005e-05,0.016212747185773
"57","V--T*--F","mrna-no-transf",2,0.47102958995058,0.00613183625505433
"58","V--T*--F","mrna-no-transf",3,0.0548036825361534,0.00971746504773175
"59","V--T*--F","mrna-no-transf",7,0,0.0414019782216141
"60","V--T*--F","mrna-no-transf",10,0.00101246077407224,0.0141141184162386
"61","V--T*--F","toy-mix",6,0.131778078929805,0.00844927668518979
"62","V--T*--F","toy-mix",1,0.3463933537572,0.00677412780111742
"63","V--T*--F","toy-mix",4,0.196907456457781,0.00779934356601827
"64","V--T*--F","toy-mix",9,0.484253910895574,0.00606957571059132
"65","V--T*--F","toy-mix",5,0.78129926468854,0.00475957458714457
"66","V--T*--F","toy-mix",8,0.674479605242451,0.00523103607116654
"67","V--T*--F","toy-mix",2,0.759777729453736,0.00485761318991723
"68","V--T*--F","toy-mix",3,0.141844106855954,0.00833403129192936
"69","V--T*--F","toy-mix",7,0.0963278005072167,0.00892306121843755
"70","V--T*--F","toy-mix",10,0.077920205254764,0.00922981884987647
"71","V--T*--F","vaccines",6,0.261971413329215,0.00730072954559001
"72","V--T*--F","vaccines",1,0.597910367476337,0.00556073492316832
"73","V--T*--F","vaccines",4,0.183728065580746,0.00791537126795088
"74","V--T*--F","vaccines",9,0.249159750895745,0.00739089180764696
"75","V--T*--F","vaccines",5,0.31573905447105,0.00695385190520057
"76","V--T*--F","vaccines",8,0.77364162323762,0.00479472922369837
"77","V--T*--F","vaccines",2,0.230105173747402,0.0075315791090187
"78","V--T*--F","vaccines",3,0,1
"79","V--T*--F","vaccines",7,0,1
"80","V--T*--F","vaccines",10,0.311802061996221,0.00697778532517716
"81","V--T*--F","titanic",6,0.753343282369285,0.00488650373167174
"82","V--T*--F","titanic",1,0.0732570168810704,0.00931717865175241
"83","V--T*--F","titanic",4,0.00148740193101082,0.0137517583646877
"84","V--T*--F","titanic",9,0.000738650399981555,0.0144043654344021
"85","V--T*--F","titanic",5,0.173136217520602,0.00801343812284241
"86","V--T*--F","titanic",8,0.0275959197500975,0.0106037882708656
"87","V--T*--F","titanic",2,0.00120842437325119,0.0139486058780051
"88","V--T*--F","titanic",3,0.000115818698934622,0.0160038771457811
"89","V--T*--F","titanic",7,0.0384528604799838,0.0101848391002015
"90","V--T*--F","titanic",10,0.0373608464418034,0.0102219008797886
"91","F--T F--T","phylo",6,1.09462439112917e-11,0.0260907353975413
"92","F--T F--T","phylo",1,0.539972874164673,0.00581528688924758
"93","F--T F--T","phylo",4,0.286172412952283,0.00713900654156686
"94","F--T F--T","phylo",9,0.0182495518025044,0.0111038731516065
"95","F--T F--T","phylo",5,0.0106930479332676,0.0117187265148402
"96","F--T F--T","phylo",8,0,0.0319694946721387
"97","F--T F--T","phylo",2,1.86253327316699e-06,0.0190930405791772
"98","F--T F--T","phylo",3,0.924030736646951,0.00397642997727776
"99","F--T F--T","phylo",7,0.401728871326134,0.00647439482151862
"100","F--T F--T","phylo",10,0.029352849980161,0.0105271096450645
"101","F--T F--T","mining",6,0.720475773157557,0.0050317940032605
"102","F--T F--T","mining",1,0.412419769034106,0.00641948232815026
"103","F--T F--T","mining",4,0.117854192448095,0.00862113257416665
"104","F--T F--T","mining",9,0.496978959099729,0.00601042739954193
"105","F--T F--T","mining",5,0.590784356346089,0.00559167286847554
"106","F--T F--T","mining",8,0.542972909713304,0.00580190288546403
"107","F--T F--T","mining",2,0.0495955246091088,0.00985142809479283
"108","F--T F--T","mining",3,0.0597820827717785,0.00959929443508352
"109","F--T F--T","mining",7,0.0990978504800201,0.00888124520728899
"110","F--T F--T","mining",10,0.431578272994672,0.0063231138506349
"111","F--T F--T","8-schools",6,0.0119284414030095,0.0115956220321579
"112","F--T F--T","8-schools",1,0.881194478453011,0.00425227404023768
"113","F--T F--T","8-schools",4,0.00546685811022618,0.0124475005469817
"114","F--T F--T","8-schools",9,0.096312424633593,0.00892329611105421
"115","F--T F--T","8-schools",5,0.244782665786778,0.00742248005172578
"116","F--T F--T","8-schools",8,0.000934325101872524,0.0141886116281364
"117","F--T F--T","8-schools",2,0.0398174347076657,0.0101397977221544
"118","F--T F--T","8-schools",3,0.113526524552124,0.00867793770948079
"119","F--T F--T","8-schools",7,0.00262818338465498,0.0131972346511023
"120","F--T F--T","8-schools",10,0.0490239383713839,0.00986686125226035
"121","F--T F--T","sparse-car",6,0.0160636485798475,0.0112536743865119
"122","F--T F--T","sparse-car",1,0.202469327767284,0.00775218315404632
"123","F--T F--T","sparse-car",4,0.190867242930457,0.00785174424600377
"124","F--T F--T","sparse-car",9,6.92792291323574e-06,0.0181675514186469
"125","F--T F--T","sparse-car",5,0.628735607634384,0.00542764844184858
"126","F--T F--T","sparse-car",8,0.111517337218336,0.00870491860801445
"127","F--T F--T","sparse-car",2,0.00332829619340314,0.0129602198752903
"128","F--T F--T","sparse-car",3,0.068983810481879,0.00940147809910559
"129","F--T F--T","sparse-car",7,0.00543660328369822,0.0124533511107666
"130","F--T F--T","sparse-car",10,0.13243114773748,0.0084415868584624
"131","F--T F--T","coll-rockets",6,0.784430896090793,0.00474510200171875
"132","F--T F--T","coll-rockets",1,0.000102673046645574,0.016102383158609
"133","F--T F--T","coll-rockets",4,0.316211840482894,0.00695099169068806
"134","F--T F--T","coll-rockets",9,0.000177066001092463,0.0156518531194191
"135","F--T F--T","coll-rockets",5,3.35858276073742e-05,0.0169888527677215
"136","F--T F--T","coll-rockets",8,0.416942240911434,0.00639650547991536
"137","F--T F--T","coll-rockets",2,0.119905493315656,0.00859480409956396
"138","F--T F--T","coll-rockets",3,0.390379721999389,0.00653365614104351
"139","F--T F--T","coll-rockets",7,0.943730836276389,0.00382099519486337
