"","algorithm","model","seed","ks_p","ks_stat"
"1","Reference","vaccines",2,0.866769099163714,0.00261855506370324
"2","Reference","vaccines",7,0.344562900882352,0.00409928496849886
"3","Reference","vaccines",10,0.418522149163394,0.0038599943314889
"4","Reference","vaccines",9,0.437187202419275,0.00380371123638327
"5","Reference","vaccines",8,0.158210520648357,0.00493035142925526
"6","Reference","vaccines",3,0.828416420486613,0.00273968673580588
"7","Reference","vaccines",4,0.718990429180277,0.00304417613107036
"8","Reference","vaccines",1,0.38716793955151,0.00395793928748778
"9","Reference","vaccines",6,0.843535349953665,0.00269336618080201
"10","Reference","vaccines",5,0.767082353934611,0.00291506220971091
"11","Reference","mrna-no-transf",2,0,0.0427456571762383
"12","Reference","mrna-no-transf",7,0,0.0347813257074123
"13","Reference","mrna-no-transf",10,5.10702591327572e-15,0.0179428887795563
"14","Reference","mrna-no-transf",9,0,0.0393932658696641
"15","Reference","mrna-no-transf",8,0,0.0541876614216477
"16","Reference","mrna-no-transf",3,0,0.03809571759736
"17","Reference","mrna-no-transf",4,1.11022302462516e-16,0.0190365338893135
"18","Reference","mrna-no-transf",1,0,0.0407516003830361
"19","Reference","mrna-no-transf",6,0.00601650868052139,0.00745959848016179
"20","Reference","mrna-no-transf",5,0,0.027279722893754
"21","Reference","phylo",2,0.254204130335107,0.00444395024607529
"22","Reference","phylo",7,7.87633313800162e-05,0.00985889986671988
"23","Reference","phylo",10,4.47276345361125e-06,0.0111663611770631
"24","Reference","phylo",9,2.781093737525e-07,0.0123007386923202
"25","Reference","phylo",8,1.92901250528621e-12,0.0162833703419795
"26","Reference","phylo",3,0.0996467257095888,0.00536118838061532
"27","Reference","phylo",4,2.28668195489945e-11,0.015538706731306
"28","Reference","phylo",1,0.000365466431330508,0.0090823920958863
"29","Reference","phylo",6,0.0259317320543925,0.00645325275784268
"30","Reference","phylo",5,0.0977733510861327,0.0053781310032177
"31","Reference","toy-mix",2,0.505323143322956,0.00360834388782511
"32","Reference","toy-mix",7,0.658309886498353,0.00320263890028647
"33","Reference","toy-mix",10,0.158797608734083,0.00492674490398493
"34","Reference","toy-mix",9,0.000415902215087693,0.00901392986832209
"35","Reference","toy-mix",8,0.606582132324965,0.00333715671347263
"36","Reference","toy-mix",3,0.968793096546059,0.00215427755233379
"37","Reference","toy-mix",4,0.0419909639040099,0.00608484007413437
"38","Reference","toy-mix",1,0.0116406427686367,0.00702285828283566
"39","Reference","toy-mix",6,0.984891491496891,0.00200309412808736
"40","Reference","toy-mix",5,2.26670579805965e-06,0.0114543147583423
"41","Reference","sparse-car",2,0.000377977124693785,0.00906461652191158
"42","Reference","sparse-car",7,0.0525264979961469,0.00590591220221432
"43","Reference","sparse-car",10,0.0450908063878899,0.00602848926787421
"44","Reference","sparse-car",9,0.0746861374309431,0.00561304758297729
"45","Reference","sparse-car",8,0.0189792294069135,0.00668099603871774
"46","Reference","sparse-car",3,0.48092239677003,0.00367671915343289
"47","Reference","sparse-car",4,0.00121030909897768,0.00842698145404926
"48","Reference","sparse-car",1,3.42396333985473e-06,0.0112804435971164
"49","Reference","sparse-car",6,0.344249024927656,0.00410036726359413
"50","Reference","sparse-car",5,0.735375376290462,0.00300071065336032
"51","Reference","titanic",2,1.35006379253788e-06,0.0116690730398479
"52","Reference","titanic",7,0.047314007290563,0.00599011108546593
"53","Reference","titanic",10,0.394030693903025,0.00393610433604052
"54","Reference","titanic",9,0.359731028325668,0.00404773782072254
"55","Reference","titanic",8,0.137455173286117,0.00506534484559146
"56","Reference","titanic",3,0.000465801722849268,0.00895349239178576
"57","Reference","titanic",4,0.0133608666759913,0.00692817929625048
"58","Reference","titanic",1,0.00010296750680705,0.00972778773710241
"59","Reference","titanic",6,0.359768493181267,0.00404761227382479
"60","Reference","titanic",5,0.233076401350513,0.00453705133358166
"61","Reference","mining",2,0.601097700972054,0.00335149785268084
"62","Reference","mining",7,0.177812211595788,0.00481528805166256
"63","Reference","mining",10,0.531456021768404,0.00353669436079144
"64","Reference","mining",9,0.146686876901543,0.00500340847326838
"65","Reference","mining",8,0.309588508981381,0.00422422404924199
"66","Reference","mining",3,0.569295650673024,0.00343523884185368
"67","Reference","mining",4,0.219167786510759,0.00460185595041376
"68","Reference","mining",1,0.0751002579021135,0.00560832442784778
"69","Reference","mining",6,0.090116608427805,0.00545032546962355
"70","Reference","mining",5,0.00303065807822567,0.00788779311309305
"71","Reference","coll-rockets",2,0.943710706999163,0.00230878303166443
"72","Reference","coll-rockets",7,0.0259898837932028,0.00645158927186477
"73","Reference","coll-rockets",10,0.123408624549591,0.00516639634769519
"74","Reference","coll-rockets",9,0.344956401663888,0.00409792903700248
"75","Reference","coll-rockets",8,0.829180259162527,0.00273738401486002
"76","Reference","coll-rockets",3,0.103170412205944,0.00533002579052053
"77","Reference","coll-rockets",4,0.014004090370154,0.00689558243806171
"78","Reference","coll-rockets",1,0.394685113734573,0.00393403437479305
"79","Reference","coll-rockets",6,0.845064628422769,0.00268858744002314
"80","Reference","coll-rockets",5,0.11776529369493,0.00520965694186852
"81","Reference","8-schools",2,0.0282388274328205,0.0063896524411893
"82","Reference","8-schools",7,0.19751203448776,0.0047093030940001
"83","Reference","8-schools",10,0.22727750604983,0.00456370494413778
"84","Reference","8-schools",9,0.00193536966942098,0.00815569148374686
"85","Reference","8-schools",8,0.120310341427407,0.00518994132872617
"86","Reference","8-schools",3,0.685297164263633,0.00313248047704793
"87","Reference","8-schools",4,0.000699956280557079,0.00873281565534699
"88","Reference","8-schools",1,0.590004678332288,0.00338058506463565
"89","Reference","8-schools",6,0.756434209823095,0.00294409525274217
"90","Reference","8-schools",5,0.447315927091662,0.00377372748707282
"91","F--T--F","vaccines",2,0.150012387676416,0.00824527563536606
"92","F--T--F","vaccines",7,0.740685123506575,0.00494286958404022
"93","F--T--F","vaccines",10,0.237353834548197,0.00747706789574585
"94","F--T--F","vaccines",9,0.642937279522323,0.00536658986253145
"95","F--T--F","vaccines",8,0.566758430627499,0.00569666136748173
"96","F--T--F","vaccines",3,0.361918952684365,0.00668712777622431
"97","F--T--F","vaccines",4,0.320187084750048,0.00692705839572086
"98","F--T--F","vaccines",1,0.764143246240631,0.00483791021221853
"99","F--T--F","vaccines",6,0.879499295822774,0.00426208465102122
"100","F--T--F","vaccines",5,0.689376239109893,0.00516683338104504
"101","F--T--F","mrna-no-transf",2,0.0604881908662916,0.00958322397981946
"102","F--T--F","mrna-no-transf",7,2.99760216648792e-15,0.0299417417182016
"103","F--T--F","mrna-no-transf",10,2.22044604925031e-15,0.0300716149585324
"104","F--T--F","mrna-no-transf",9,0,0.0661855540838243
"105","F--T--F","mrna-no-transf",8,0.0301294173320158,0.0104945008244437
