"","algorithm","model","seed","ks_p","ks_stat"
"1","V--T* F--T","spring",4,0.0821961560142378,0.0399981499537489
"2","V--T* F--T","spring",2,0.00289088795194614,0.0572524563114077
"3","V--T* F--T","spring",7,0.0420869874513786,0.0439932248306207
"4","V--T* F--T","spring",9,0.00372198841004867,0.0561353783844596
"5","V--T* F--T","spring",6,0.0602883620284427,0.0418956473911848
"6","V--T* F--T","spring",1,0.115967487217839,0.0377790694767369
"7","V--T* F--T","spring",8,0.000262892329654374,0.0669300232505812
"8","V--T* F--T","spring",5,0.87872773082207,0.0186434660866522
"9","V--T* F--T","spring",3,0.000152952463462919,0.0689283232080803
"10","V--T* F--T","spring",10,0.00512169936396079,0.0546915672891823
"11","F--T F--T","spring",4,0.0840934773974626,0.0398548713717843
"12","F--T F--T","spring",2,8.7460039210896e-12,0.114501012525313
"13","F--T F--T","spring",7,2.20297358136667e-05,0.0756465661641541
"14","F--T F--T","spring",9,1.1239163522081e-07,0.0914772119302982
"15","F--T F--T","spring",6,0.000463203309854165,0.0647742943573589
"16","F--T F--T","spring",1,0.0231146018134446,0.0472841821045526
"17","F--T F--T","spring",8,0.0483905995086692,0.0431907797694942
"18","F--T F--T","spring",5,0.0762312828980192,0.0404675366884171
"19","F--T F--T","spring",3,0.0290384765937985,0.0460589764744119
"20","F--T F--T","spring",10,0.00074236567506103,0.0629228230705767
"21","V--T*--F","spring",4,0.00708666376811729,0.0531826795669891
"22","V--T*--F","spring",2,0.0106908702312842,0.0512083552088802
"23","V--T*--F","spring",7,0.040661585057287,0.0441890797269931
"24","V--T*--F","spring",9,0.155098847060587,0.0357963949098728
"25","V--T*--F","spring",6,0.711811800021029,0.0221526288157204
"26","V--T*--F","spring",1,0.0040335014639904,0.0557753693842345
"27","V--T*--F","spring",8,0.336637407158993,0.0298455961399035
"28","V--T*--F","spring",5,0.181255375872585,0.0346860921523038
"29","V--T*--F","spring",3,0.559282571041797,0.0250365759143979
"30","V--T*--F","spring",10,0.187685436522234,0.0344326858171454
"31","F--T--F","spring",4,0.139383806598361,0.036537588439711
"32","F--T--F","spring",2,0.496274775521255,0.0262780069501738
"33","F--T--F","spring",7,0.209891906215036,0.033606415160379
"34","F--T--F","spring",9,0.632135973161243,0.0236532913322833
"35","F--T--F","spring",6,0.0532984114354972,0.0426265156628916
"36","F--T--F","spring",1,0.339951097889441,0.0297619690492262
"37","F--T--F","spring",8,0.11468616922274,0.0378527463186579
"38","F--T--F","spring",5,0.00658035155462111,0.0535308632715818
"39","F--T--F","spring",3,0.0618230112137056,0.0417449936248405
"40","F--T--F","spring",10,0.289909683454363,0.0310899022475562
"41","Reference","spring",4,0.0026357898392384,0.00708966125398723
"42","Reference","spring",2,0.00510556821869557,0.00672698300767437
"43","Reference","spring",7,0.624847986066578,0.00292540351901686
"44","Reference","spring",9,0.33431321285223,0.00367724806608944
"45","Reference","spring",6,0.000505250051832995,0.00792359155046546
"46","Reference","spring",1,0.000755161570235807,0.00772899586796811
"47","Reference","spring",8,0.138429330930004,0.00449868061344759
"48","Reference","spring",5,0.777109369635279,0.00256779593833827
"49","Reference","spring",3,0.810248570765963,0.00248421639850229
"50","Reference","spring",10,0.00502310174506893,0.00673615034656809
"51","V--T* F--T*","spring",4,0.020145488819073,0.0480073751843796
"52","V--T* F--T*","spring",2,0.0110341234633413,0.0510534513362834
"53","V--T* F--T*","spring",7,0.0431758024423198,0.0438474711867797
"54","V--T* F--T*","spring",9,0.62669876160724,0.0237555188879722
"55","V--T* F--T*","spring",6,0.0252214308541617,0.0468195454886372
"56","V--T* F--T*","spring",1,0.217002486049302,0.0333561089027226
"57","V--T* F--T*","spring",8,6.62025792184107e-05,0.0719087227180679
"58","V--T* F--T*","spring",5,0.596989750115886,0.0243162079051976
"59","V--T* F--T*","spring",3,0.0148178503424483,0.0495849396234905
"60","V--T* F--T*","spring",10,0.403967397155334,0.0282406310157754
