"","algorithm","model","seed","ks_p","ks_stat"
"1","F--T F--T","mrna-no-transf",5,5.34328137291595e-12,0.0264490631466747
"2","F--T F--T","mrna-no-transf",3,0,0.0895067371434023
"3","F--T F--T","mrna-no-transf",9,0,0.0511071508474296
"4","F--T F--T","mrna-no-transf",2,0,0.138839053005427
"5","F--T F--T","mrna-no-transf",4,0.0408446745992805,0.0101067709951912
"6","F--T F--T","mrna-no-transf",8,0,0.0745284651667268
"7","F--T F--T","mrna-no-transf",1,0,0.037098634351203
"8","F--T F--T","mrna-no-transf",6,1.81655801512193e-10,0.024637036496941
"9","F--T F--T","mrna-no-transf",10,2.09950320240182e-07,0.0205388916411995
"10","F--T F--T","mrna-no-transf",7,0,0.0434468330831726
"11","Reference","mrna-no-transf",5,0,0.027279722893754
"12","Reference","mrna-no-transf",3,0,0.03809571759736
"13","Reference","mrna-no-transf",9,0,0.0393932658696641
"14","Reference","mrna-no-transf",2,0,0.0427456571762383
"15","Reference","mrna-no-transf",4,1.11022302462516e-16,0.0190365338893135
"16","Reference","mrna-no-transf",8,0,0.0541876614216477
"17","Reference","mrna-no-transf",1,0,0.0407516003830361
"18","Reference","mrna-no-transf",6,0.00601650868052139,0.00745959848016179
"19","Reference","mrna-no-transf",10,5.10702591327572e-15,0.0179428887795563
"20","Reference","mrna-no-transf",7,0,0.0347813257074123
"21","V--T* F--T","mrna-no-transf",5,0.104280203307921,0.00880555853088287
"22","V--T* F--T","mrna-no-transf",3,0.0170977175057524,0.0111806739115675
"23","V--T* F--T","mrna-no-transf",9,0.197788879965874,0.00779180162538215
"24","V--T* F--T","mrna-no-transf",2,0.000926229812765356,0.0141966594817152
"25","V--T* F--T","mrna-no-transf",4,0,0.488684699616614
"26","V--T* F--T","mrna-no-transf",8,4.82506475885103e-07,0.0200000441033078
"27","V--T* F--T","mrna-no-transf",1,0,0.510730259506051
"28","V--T* F--T","mrna-no-transf",6,0,0.489384734618364
"29","V--T* F--T","mrna-no-transf",10,0.87576091737594,0.00428349988213678
"30","V--T* F--T","mrna-no-transf",7,3.70749719813546e-09,0.0229741100295345
"31","V--T*--F","mrna-no-transf",5,0.730245686392451,0.00498894966498869
"32","V--T*--F","mrna-no-transf",3,0.0917140363811692,0.00899499173813662
"33","V--T*--F","mrna-no-transf",9,1.22124532708767e-15,0.0303417642193893
"34","V--T*--F","mrna-no-transf",2,0,0.0415357040008804
"35","V--T*--F","mrna-no-transf",4,0.323158139047362,0.00690930381414943
"36","V--T*--F","mrna-no-transf",8,0.632927650792879,0.00540961508936968
"37","V--T*--F","mrna-no-transf",1,0.0540310255565547,0.00973662623479682
"38","V--T*--F","mrna-no-transf",6,0.0124418104562339,0.0115478265725582
"39","V--T*--F","mrna-no-transf",10,1.86914561217666e-06,0.0190906041464477
"40","V--T*--F","mrna-no-transf",7,0.745968369276681,0.00491941444993448
