round,isAdapt,beta,value
0,true,0.01,1.0000049560435909
0,true,0.02,1.9796180083196406
0,true,0.03,3.4700099995488256
0,true,0.04,4.996872893656764
0,true,0.05,5.000020910826768
0,true,0.06,5.989660976457571
0,true,0.07,6.290338304472906
0,true,0.08,7.919997751321096
0,true,0.09,9.409995570380728
0,true,0.1,10.899995982245784
0,true,0.11,12.389984644168674
0,true,0.12,13.972910560614809
0,true,0.13,13.999995855300428
0,true,0.14,14.946691657950486
0,true,0.15,15.28176609692288
0,true,0.16,16.000025307742682
0,true,0.17,16.0000357082293
0,true,0.18,16.914507460823028
0,true,0.19,17.162467333558354
0,true,0.2,18.80005512890089
0,true,0.21,20.000061551162265
0,true,0.22,20.00006987579227
0,true,0.23,21.00007884702748
0,true,0.24,21.85487589322273
0,true,0.25,22.000033515589717
0,true,0.26,22.000046005331676
0,true,0.27,22.673428766406985
0,true,0.28,23.387176872258454
0,true,0.29,24.12240420932412
0,true,0.3,25.688484799709002
0,true,0.31,25.935293210101477
0,true,0.32,26.792820991854263
0,true,0.33,26.794480484048517
0,true,0.34,27.781002576985465
0,true,0.35,28.059903706629406
0,true,0.36,28.939118450038016
0,true,0.37,28.939128938721566
0,true,0.38,29.61568114134993
0,true,0.39,29.93914913631495
0,true,0.4,29.939160959947394
0,true,0.41,30.92883553026359
0,true,0.42,31.524401699139354
0,true,0.43,31.8910235451524
0,true,0.44,32.342347455234716
0,true,0.45,33.88642606246872
0,true,0.46,34.44575240522725
0,true,0.47,34.88545721210676
0,true,0.48,35.224610531022975
0,true,0.49,36.73806744080377
0,true,0.5,37.615803457104406
0,true,0.51,37.91441569580198
0,true,0.52,38.86891601397594
0,true,0.53,38.86892711140231
0,true,0.54,38.86893839363408
0,true,0.55,39.43034860168142
0,true,0.56,39.43446279656976
0,true,0.57,39.434479076263386
0,true,0.58,39.4344939762634
0,true,0.59,39.43450887626338
0,true,0.6,39.434520416349805
0,true,0.61,40.400737791462255
0,true,0.62,40.43438514139041
0,true,0.63,40.43440150202276
0,true,0.64,40.43441326868775
0,true,0.65,41.159627297871054
0,true,0.66,42.026747051986376
0,true,0.67,42.65257663059695
0,true,0.68,42.6538028295612
0,true,0.69,43.597969761001416
0,true,0.7,43.689275262534956
0,true,0.71,43.689291632446725
0,true,0.72,43.689306532446736
