round,lowest,average
0,0.0,0.6125776317097028
1,0.0,0.7765313371091898
2,0.0,0.7446513445437392
3,0.0,0.6680617008750928
4,1.5091359966669645E-5,0.6546203158106458
5,0.012138228568021612,0.6449234690408805
6,0.06864147939780592,0.9245893432141613
7,0.74156872359926,0.9024879647234328
8,0.8036946529791704,0.9128360857485653
9,0.8684635978359718,0.8993138272918929
10,0.809142113468131,0.867809447601807
11,0.40899090968824753,0.7791883767447927
12,0.050745423500749544,0.6628015981685559
13,0.2005170168282721,0.6606302571676683
14,0.16318284959975674,0.647596483167965
15,0.4938363021115636,0.9555432330687964
16,0.9027019038080484,0.9524852110956111
17,0.9429474662438242,0.9563691224462656
18,0.9392957681707623,0.9564314802006637
