round,time,effectiveNScans
0,Infinity,0.0
1,Infinity,0.0
2,Infinity,0.0
3,Infinity,0.0
4,1.9906725036689956E7,0.0
5,50888.87277541774,0.0
6,7910.055179488538,0.0
7,5266.8367543610475,0.0
8,4588.116860856489,0.0
9,5311.743044479088,0.0
10,7140.847487121477,0.0
11,14322.119394897994,0.0
12,37766.55905190113,0.0
13,24201.028040207835,0.0
14,27049.437096566682,4200.562903433318
15,2598.593721938013,59901.406278061986
16,2531.3928111528144,122469.60718884719
17,2339.7283875513967,247661.27161244862
18,2336.4777439841746,497663.5222560158
