round,isAdapt,beta,value
0,true,0.01,1.0000049560435909
0,true,0.02,1.9796180083155763
0,true,0.03,3.0000185112299955
0,true,0.04,3.00002884736
0,true,0.05,4.000038336249995
0,true,0.06,4.00004830584
0,true,0.07,5.430049999982726
0,true,0.08,6.920049999983558
0,true,0.09,8.00005794619355
0,true,0.1,8.000067289983555
0,true,0.11,9.000074486860198
0,true,0.12,9.960333480957269
0,true,0.13,10.000092231541666
0,true,0.14,10.00010963536143
0,true,0.15,10.281872047483553
0,true,0.16,11.000129958955815
0,true,0.17,11.000140359442431
0,true,0.18,11.914611166063551
0,true,0.19,12.000162287212323
0,true,0.2,12.000175120002751
0,true,0.21,13.000183869678956
0,true,0.22,13.876282785384406
0,true,0.23,14.000201793377949
0,true,0.24,14.000214389769816
0,true,0.25,15.00022295985181
0,true,0.26,15.823100337725945
0,true,0.27,16.082486963893977
0,true,0.28,17.70885703788901
0,true,0.29,18.988771791629826
0,true,0.3,19.772776830964034
0,true,0.31,20.083372380004764
0,true,0.32,20.98879828513803
0,true,0.33,21.041940904127937
0,true,0.34,22.634779917082042
0,true,0.35,23.968652199390455
0,true,0.36,23.968663911261693
0,true,0.37,23.968678362680972
0,true,0.38,24.64513184008989
0,true,0.39,24.992579152042936
0,true,0.4,26.43506959730195
0,true,0.41,27.743696769667803
0,true,0.42,27.743709082324266
0,true,0.43,27.743724308852478
0,true,0.44,28.27642018579689
0,true,0.45,28.647264842815996
0,true,0.46,28.64728153531472
0,true,0.47,28.649317594835015
0,true,0.48,29.829810571046643
0,true,0.49,31.022784265306786
0,true,0.5,31.90168492630764
0,true,0.51,33.24228100678885
0,true,0.52,34.851246158899265
0,true,0.53,35.250940690760125
0,true,0.54,35.250955291047084
0,true,0.55,35.250970642269934
0,true,0.56,35.55181614976723
0,true,0.57,37.23818617961684
0,true,0.58,37.24766635918052
0,true,0.59,37.24768008463333
0,true,0.6,38.221420739438464
0,true,0.61,38.221432563052254
0,true,0.62,38.37904995106455
0,true,0.63,39.91263443525676
0,true,0.64,39.94622231264966
0,true,0.65,39.946235499003144
0,true,0.66,40.796171292934055
0,true,0.67,40.79618222809485
0,true,0.68,40.79619736794792
0,true,0.69,40.796213514463126
