round,isAdapt,beta,value
0,true,0.01,6.556188044442024E-4
0,true,0.02,154.7810773622283
0,true,0.03,0.0012556229988831547
0,true,0.04,0.004119551999593796
0,true,0.05,0.0013521749987148723
0,true,0.06,0.0039496919993098345
0,true,0.07,149.00000000010823
0,true,0.08,149.00000000000466
0,true,0.09,0.0015560069982711866
0,true,0.1,0.0036206999985779476
0,true,0.11,7.759140510188445E-4
0,true,0.12,94.40829546499322
0,true,0.13,0.0015932508044897986
0,true,0.14,7.46832592312785E-4
0,true,0.15,203.38336845000003
0,true,0.16,1.1447104975559341E-4
0,true,0.17,4.8678359962650575E-4
0,true,0.18,131.95491136799978
0,true,0.19,0.0019122406642964052
0,true,0.2,0.002860774967530233
0,true,0.21,0.0010967013754452637
0,true,0.22,153.41065364979568
0,true,0.23,0.0017620576768422325
0,true,0.24,0.0025818445355980657
0,true,0.25,0.0012902103403575893
0,true,0.26,170.0462580258686
0,true,0.27,113.43445878338252
0,true,0.28,148.9992924516955
0,true,0.29,0.0014976099591876846
0,true,0.3,187.73917815750428
0,true,0.31,137.58648639625608
0,true,0.32,4.5772800058330176E-4
0,true,0.33,88.78393691425845
0,true,0.34,145.47605699568248
0,true,0.35,0.0032295542150677647
0,true,0.36,0.0019834583908959758
0,true,0.37,7.559045025118394E-5
0,true,0.38,210.59350478237775
0,true,0.39,63.096198246632866
0,true,0.4,109.99707165234395
0,true,0.41,0.0037015929417520965
0,true,0.42,0.0019530639401637018
0,true,0.43,2.1975695290166186E-5
0,true,0.44,199.02680042543034
0,true,0.45,2.869048989850853E-4
0,true,0.46,0.0017957294649022515
0,true,0.47,19.91493180792952
0,true,0.48,33.43773906922161
0,true,0.49,116.97464431814137
0,true,0.5,91.43347541141793
0,true,0.51,149.49731110671848
0,true,0.52,188.82077799904255
0,true,0.53,4.10200004807848E-6
0,true,0.54,0.001489999998739222
0,true,0.55,2.8689743226095743E-4
0,true,0.56,175.04153019614114
0,true,0.57,39.563926564068424
0,true,0.58,0.0021777419842692325
0,true,0.59,0.0037015927036918583
0,true,0.6,0.0016091706238512415
0,true,0.61,8.752825683586707E-4
0,true,0.62,110.90984554319675
0,true,0.63,74.1009432828073
0,true,0.64,0.002059736583760241
0,true,0.65,0.003229550546166138
0,true,0.66,0.0019470969509711722
0,true,0.67,0.0018673903578019235
0,true,0.68,0.0014900000014677062
0,true,0.69,9.7106413977599E-4
0,true,0.7,187.73346584403316
0,true,0.71,5.908816874580225E-4
0,true,0.72,142.9223405669827
0,true,0.73,126.24841205789926
0,true,0.74,0.002447771951665345
0,true,0.75,0.00251437497081497
0,true,0.76,0.0010625940394675126
0,true,0.77,182.6035243924007
0,true,0.78,0.0027195169786864426
0,true,0.79,0.0019782385206781328
0,true,0.8,0.0014900000032866956
0,true,0.81,0.0014900000023772009
0,true,0.82,4.8522478027734905E-4
0,true,0.83,26.947905220433313
0,true,0.84,0.0031540102572762407
0,true,0.85,0.002033817361734691
0,true,0.86,107.384755983594
0,true,0.87,6.119367935752962E-4
0,true,0.88,6.441835103032645E-5
0,true,0.89,212.67998211302802
0,true,0.9,42.81188001792543
0,true,0.91,25.738172931025474
0,true,0.92,0.002171987303881906
0,true,0.93,219.08070161883552
0,true,0.94,1.2007416453711812
0,true,0.95,18.567789360677125
0,true,0.96,120.85045275442417
0,true,0.97,9.873921335383784E-4
0,true,0.98,0.0014900000005582115
0,true,0.99,0.0014900000005582115
1,true,0.01,40.25116416205282
1,true,0.02,311.65952775852065
1,true,0.03,58.03769933278886
1,true,0.04,56.117116998410665
1,true,0.05,34.09660448276861
1,true,0.06,111.76366163111555
1,true,0.07,138.06006773527315
1,true,0.08,1.2278861731829238E-5
1,true,0.09,29.009965199465682
1,true,0.1,108.60167693953184
1,true,0.11,32.92241528517525
1,true,0.12,25.932768640865618
1,true,0.13,8.01180243143051
1,true,0.14,13.181635391721102
1,true,0.15,293.4136631704414
1,true,0.16,6.599353675937891E-4
1,true,0.17,1.1151747344229079E-4
1,true,0.18,8.32708951065797E-4
1,true,0.19,1.9397890196160006E-4
1,true,0.2,5.808322245570707E-4
