isAdapt,round,chain,value
true,0,0,1.0
true,0,1,1.0
true,0,2,1.0
true,0,3,1.0
true,0,4,1.0
true,0,5,0.3706138934570224
true,0,6,0.05251924769787521
true,0,7,0.8331881943410765
true,0,8,0.9446089465800445
true,0,9,1.0
true,0,10,1.6845243380453077E-4
true,0,11,1.0
true,0,12,0.16882675644283923
true,0,13,0.7251225684295367
true,0,14,0.3171824665436444
true,0,15,1.0
true,0,16,3.705702972180393E-6
true,0,17,1.0
true,0,18,1.0
true,0,19,1.0
true,0,20,0.0023605588419435618
true,0,21,1.0
true,0,22,1.0
true,0,23,1.0
true,0,24,5.964760606851819E-5
true,0,25,0.865697239151589
true,0,26,1.0
true,0,27,1.0
true,0,28,1.0
true,0,29,1.0
true,0,30,1.0
true,0,31,1.0
true,0,32,1.0
true,0,33,0.1503588161068332
true,0,34,0.06816386483772922
true,0,35,1.0
true,0,36,0.33756983616239533
true,0,37,1.0
true,0,38,1.0
true,0,39,0.8717832407203755
true,0,40,0.005722892580723413
true,0,41,6.769277698502685E-6
true,0,42,0.7241593694685681
true,0,43,1.0
true,0,44,2.889670919202041E-5
true,0,45,1.0
true,0,46,1.0
true,0,47,1.0
true,0,48,1.0
true,0,49,1.0
true,0,50,1.0
true,0,51,0.1500751897917379
true,0,52,1.0
true,0,53,1.0
true,0,54,1.0
true,0,55,0.001174984005666731
true,0,56,0.274058557752331
true,0,57,1.0
true,0,58,1.0
true,0,59,1.0
true,0,60,0.026269649421165896
true,0,61,1.0
true,0,62,1.0
true,0,63,1.0
true,0,64,2.1521266263311123E-6
true,0,65,0.0033259900016934423
true,0,66,1.0
true,0,67,1.0
true,0,68,1.0
true,0,69,1.0
true,0,70,1.0
true,0,71,0.0011316242180468082
true,0,72,2.34879686556421E-4
true,0,73,2.26517550696919E-7
true,0,74,0.3503102438795699
true,0,75,0.4122821001395418
true,0,76,1.0223993133330998E-9
true,0,77,0.6221666278535942
true,0,78,0.010238399671686382
true,0,79,1.0
true,0,80,1.0
true,0,81,1.0
true,0,82,1.0
true,0,83,0.09647951134624068
true,0,84,1.0
true,0,85,1.0
true,0,86,1.0
true,0,87,1.0
true,0,88,0.009812356512036925
true,0,89,0.2150437386676911
true,0,90,5.8851942227539396E-12
true,0,91,1.0
true,0,92,1.4794008403701717E-4
true,0,93,1.0
true,0,94,1.0
true,0,95,1.0
true,0,96,1.0
true,0,97,1.1926726784372801E-6
true,0,98,0.02015907949343209
true,0,99,2.712711769563183E-18
true,0,100,1.0
true,0,101,1.0
true,0,102,3.494460102580144E-17
true,0,103,1.0
true,0,104,2.6659687522872866E-20
true,0,105,1.0
true,0,106,8.244177658609532E-5
true,0,107,2.3796268110102797E-15
true,0,108,2.4779873750447868E-25
true,0,109,1.0
true,0,110,0.0113883312756817
true,0,111,1.0
true,0,112,6.141132380823433E-7
true,0,113,1.0
true,0,114,1.0
true,0,115,1.0
true,0,116,2.8184071676158606E-23
true,0,117,1.0
true,0,118,2.979095673418516E-30
true,0,119,1.0
true,0,120,1.0
true,0,121,1.0
true,0,122,4.948187766816109E-66
true,0,123,1.0
true,0,124,1.0
true,0,125,1.0
true,0,126,1.329789627647112E-40
true,0,127,1.0
true,0,128,1.0
true,0,129,1.0
true,0,130,1.0
true,0,131,6.1484313358833745E-34
true,0,132,1.0
true,0,133,1.5284494877555436E-24
true,0,134,1.0
true,0,135,1.0
true,0,136,5.585616858732275E-62
true,0,137,1.624594458906318E-15
true,0,138,4.789428213741981E-13
true,0,139,1.596258335254607E-11
true,0,140,1.0
true,0,141,1.0
true,0,142,1.046502521816914E-156
true,0,143,1.0
true,0,144,1.0
true,0,145,2.5611115381729203E-82
true,0,146,0.0
true,0,147,1.0
true,0,148,0.0
true,1,0,2.601507303315349E-5
true,1,1,0.9177558909208969
true,1,2,1.0
true,1,3,0.9892971003156437
true,1,4,0.49890788071090025
true,1,5,0.981803187252474
true,1,6,0.7294196811766558
true,1,7,1.0
true,1,8,0.7335875513467205
true,1,9,0.9274464152363973
true,1,10,0.879990548518281
true,1,11,1.0
true,1,12,1.0
true,1,13,1.0
true,1,14,0.8833307208304172
true,1,15,0.6665457869265756
true,1,16,0.9798561771862558
true,1,17,0.9899602404446071
true,1,18,0.501198662110242
true,1,19,1.0
true,1,20,1.0
true,1,21,1.0
true,1,22,1.0
true,1,23,1.0
true,1,24,1.0
true,1,25,0.9052488913970098
true,1,26,0.9254759733381324
true,1,27,0.9299619503786085
true,1,28,0.6750187272035624
true,1,29,0.935348087332833
true,1,30,0.8343987505594281
true,1,31,0.9822443331544727
true,1,32,0.7958281911448832
true,1,33,1.0
true,1,34,0.7078625753981209
true,1,35,1.0
true,1,36,0.9877702200879266
true,1,37,0.7991707911540304
true,1,38,1.0
true,1,39,1.0
true,1,40,0.9784078275276646
true,1,41,1.0
true,1,42,1.0
true,1,43,1.0
true,1,44,1.0
true,1,45,1.0
true,1,46,1.0
true,1,47,1.0
true,1,48,0.9328985654239956
true,1,49,1.0
true,1,50,0.9916127606316497
true,1,51,0.9514275463624313
true,1,52,1.0
true,1,53,0.8503738920909714
true,1,54,0.9556818674752412
true,1,55,0.9339550373673452
true,1,56,1.0
true,1,57,1.0
true,1,58,0.9646149176907787
true,1,59,1.0
true,1,60,1.0
true,1,61,1.0
true,1,62,1.0
true,1,63,0.7480674324605214
true,1,64,0.7110777114593103
true,1,65,0.9501411940409678
true,1,66,0.41880617907665896
true,1,67,1.0
true,1,68,1.0
true,1,69,0.9792074491933671
true,1,70,0.7668494822184353
true,1,71,1.0
true,1,72,1.0
true,1,73,1.0
true,1,74,1.0
true,1,75,1.0
true,1,76,0.5883377402768313
true,1,77,1.0
true,1,78,0.6779005557103959
true,1,79,1.0
true,1,80,0.5046272230858653
true,1,81,1.0
true,1,82,1.0
true,1,83,0.6305862199285925
true,1,84,0.881281801073165
true,1,85,1.0
true,1,86,1.0
true,1,87,1.0
true,1,88,1.0
true,1,89,1.0
true,1,90,0.6239126677833065
true,1,91,0.5079651243461567
true,1,92,1.0
true,1,93,0.7752326762157757
true,1,94,0.5000000005368269
true,1,95,1.0
true,1,96,1.0
true,1,97,0.9025690693168646
true,1,98,0.5099614973677792
true,1,99,1.0
true,1,100,1.0
true,1,101,1.0
true,1,102,1.0
true,1,103,0.6627073482559931
true,1,104,1.0
true,1,105,1.0
true,1,106,1.0
true,1,107,1.0
true,1,108,0.5035220743182852
true,1,109,0.8388017415322676
true,1,110,1.0
true,1,111,1.0
true,1,112,1.0
true,1,113,1.0
true,1,114,1.0
true,1,115,1.0
true,1,116,1.0
true,1,117,1.0
true,1,118,1.0
true,1,119,0.823896806636069
true,1,120,0.3914474684190127
true,1,121,0.5001586334651491
true,1,122,0.5571800922371489
true,1,123,0.5791324753934166
true,1,124,0.500028041582249
true,1,125,1.0
true,1,126,0.46946921910699524
true,1,127,0.02101212497593207
true,1,128,0.7022207296067798
true,1,129,1.0
true,1,130,1.0
true,1,131,0.5335027534540024
true,1,132,1.0
true,1,133,0.8977674036038672
true,1,134,0.65830689166554
true,1,135,1.0
true,1,136,0.6244694707512732
true,1,137,0.14025829652750146
true,1,138,0.0014693879888303665
true,1,139,0.5574789619183609
true,1,140,2.6070178349025647E-31
true,1,141,0.03987435495951429
true,1,142,1.0
true,1,143,0.5404437305564544
true,1,144,1.0
true,1,145,1.4475032587551731E-5
true,1,146,2.4239253134965968E-154
true,1,147,6.140177164179455E-74
