"","model","chain","nChains","objectiveType","antithetics","dim","essn","mean","sd","snr"
"1","CHRVariational",0,4,"ApproxRejection","IS",-1,0.5,0.451934690034039,0.148085335515554,3.05185309848976
"2","CHRVariational",0,4,"ApproxRejection","IS",-1,1,0.451934690034039,0.148085335515554,3.05185309848976
"3","CHRVariational",0,4,"ApproxRejection","IS",0,0.5,-0.014228892898879,0.030836541507598,0.461429596291563
"4","CHRVariational",0,4,"ApproxRejection","IS",0,1,-0.014228892898879,0.030836541507598,0.461429596291563
"5","CHRVariational",0,4,"ApproxRejection","IS",1,0.5,0.00867328224642742,0.0118645748113624,0.731023436096608
"6","CHRVariational",0,4,"ApproxRejection","IS",1,1,0.00867328224642742,0.0118645748113624,0.731023436096608
"7","CHRVariational",0,4,"ApproxRejection","IS",2,0.5,-0.0219907119129815,0.0397499242483906,0.553226511214593
"8","CHRVariational",0,4,"ApproxRejection","IS",2,1,-0.0219907119129815,0.0397499242483906,0.553226511214593
"9","CHRVariational",0,4,"ApproxRejection","IS",3,0.5,-0.0283362059654156,0.0601655741519954,0.470970423947592
"10","CHRVariational",0,4,"ApproxRejection","IS",3,1,-0.0283362059654156,0.0601655741519954,0.470970423947592
"11","CHRVariational",0,4,"ApproxRejection","MCMC",-1,0.5,0.718645770577976,0.102817420066872,6.98953319496418
"12","CHRVariational",0,4,"ApproxRejection","MCMC",-1,1,0.718645770577976,0.102817420066872,6.98953319496418
"13","CHRVariational",0,4,"ApproxRejection","MCMC",0,0.5,-0.0377911079047745,0.0308139930351264,1.22642683347447
"14","CHRVariational",0,4,"ApproxRejection","MCMC",0,1,-0.0377911079047745,0.0308139930351264,1.22642683347447
"15","CHRVariational",0,4,"ApproxRejection","MCMC",1,0.5,0.0266995708132718,0.0152445397907181,1.75141861806339
"16","CHRVariational",0,4,"ApproxRejection","MCMC",1,1,0.0266995708132718,0.0152445397907181,1.75141861806339
"17","CHRVariational",0,4,"ApproxRejection","MCMC",2,0.5,-0.0575179491587881,0.037678646595719,1.52653968110742
"18","CHRVariational",0,4,"ApproxRejection","MCMC",2,1,-0.0575179491587881,0.037678646595719,1.52653968110742
"19","CHRVariational",0,4,"ApproxRejection","MCMC",3,0.5,-0.0660780650032177,0.0529109507569304,1.24885423637115
"20","CHRVariational",0,4,"ApproxRejection","MCMC",3,1,-0.0660780650032177,0.0529109507569304,1.24885423637115
"21","CHRVariational",0,4,"ApproxRejection","OFF",-1,0.5,0.709226625121386,0.109709314404689,6.46459809697867
"22","CHRVariational",0,4,"ApproxRejection","OFF",-1,1,0.709226625121386,0.109709314404689,6.46459809697867
"23","CHRVariational",0,4,"ApproxRejection","OFF",0,0.5,-0.041278238080695,0.0368708564341332,1.11953564611213
"24","CHRVariational",0,4,"ApproxRejection","OFF",0,1,-0.041278238080695,0.0368708564341332,1.11953564611213
"25","CHRVariational",0,4,"ApproxRejection","OFF",1,0.5,0.0292805196356448,0.0199000563808453,1.47137872754112
"26","CHRVariational",0,4,"ApproxRejection","OFF",1,1,0.0292805196356448,0.0199000563808453,1.47137872754112
"27","CHRVariational",0,4,"ApproxRejection","OFF",2,0.5,-0.0630042679458279,0.0471483077999293,1.33629966558253
"28","CHRVariational",0,4,"ApproxRejection","OFF",2,1,-0.0630042679458279,0.0471483077999293,1.33629966558253
"29","CHRVariational",0,4,"ApproxRejection","OFF",3,0.5,-0.0724538584250753,0.0639976100469242,1.13213381518389
"30","CHRVariational",0,4,"ApproxRejection","OFF",3,1,-0.0724538584250753,0.0639976100469242,1.13213381518389
"31","CHRVariational",0,4,"Rejection","IS",-1,0.5,0.451934690034039,0.148085335515554,3.05185309848977
"32","CHRVariational",0,4,"Rejection","IS",-1,1,0.451934690034039,0.148085335515554,3.05185309848976
"33","CHRVariational",0,4,"Rejection","IS",0,0.5,-0.014228892898879,0.030836541507598,0.461429596291563
"34","CHRVariational",0,4,"Rejection","IS",0,1,-0.014228892898879,0.030836541507598,0.461429596291563
"35","CHRVariational",0,4,"Rejection","IS",1,0.5,0.00867328224642742,0.0118645748113624,0.731023436096608
"36","CHRVariational",0,4,"Rejection","IS",1,1,0.00867328224642742,0.0118645748113624,0.731023436096608
"37","CHRVariational",0,4,"Rejection","IS",2,0.5,-0.0219907119129815,0.0397499242483906,0.553226511214593
"38","CHRVariational",0,4,"Rejection","IS",2,1,-0.0219907119129815,0.0397499242483906,0.553226511214593
"39","CHRVariational",0,4,"Rejection","IS",3,0.5,-0.0283362059654156,0.0601655741519954,0.470970423947592
"40","CHRVariational",0,4,"Rejection","IS",3,1,-0.0283362059654156,0.0601655741519954,0.470970423947592
"41","CHRVariational",0,4,"Rejection","MCMC",-1,0.5,0.718645770577976,0.102817420066872,6.98953319496418
"42","CHRVariational",0,4,"Rejection","MCMC",-1,1,0.718645770577976,0.102817420066872,6.98953319496418
"43","CHRVariational",0,4,"Rejection","MCMC",0,0.5,-0.0377911079047745,0.0308139930351264,1.22642683347447
"44","CHRVariational",0,4,"Rejection","MCMC",0,1,-0.0377911079047745,0.0308139930351264,1.22642683347447
"45","CHRVariational",0,4,"Rejection","MCMC",1,0.5,0.0266995708132718,0.0152445397907181,1.75141861806339
"46","CHRVariational",0,4,"Rejection","MCMC",1,1,0.0266995708132718,0.0152445397907181,1.75141861806339
"47","CHRVariational",0,4,"Rejection","MCMC",2,0.5,-0.0575179491587881,0.037678646595719,1.52653968110742
"48","CHRVariational",0,4,"Rejection","MCMC",2,1,-0.0575179491587881,0.037678646595719,1.52653968110742
"49","CHRVariational",0,4,"Rejection","MCMC",3,0.5,-0.0660780650032177,0.0529109507569304,1.24885423637115
"50","CHRVariational",0,4,"Rejection","MCMC",3,1,-0.0660780650032177,0.0529109507569304,1.24885423637115
"51","CHRVariational",0,4,"Rejection","OFF",-1,0.5,0.709226625121386,0.109709314404689,6.46459809697867
"52","CHRVariational",0,4,"Rejection","OFF",-1,1,0.709226625121386,0.109709314404689,6.46459809697867
"53","CHRVariational",0,4,"Rejection","OFF",0,0.5,-0.041278238080695,0.0368708564341332,1.11953564611213
"54","CHRVariational",0,4,"Rejection","OFF",0,1,-0.041278238080695,0.0368708564341332,1.11953564611213
"55","CHRVariational",0,4,"Rejection","OFF",1,0.5,0.0292805196356448,0.0199000563808453,1.47137872754112
"56","CHRVariational",0,4,"Rejection","OFF",1,1,0.0292805196356448,0.0199000563808453,1.47137872754112
"57","CHRVariational",0,4,"Rejection","OFF",2,0.5,-0.0630042679458279,0.0471483077999293,1.33629966558253
"58","CHRVariational",0,4,"Rejection","OFF",2,1,-0.0630042679458279,0.0471483077999293,1.33629966558253
"59","CHRVariational",0,4,"Rejection","OFF",3,0.5,-0.0724538584250753,0.0639976100469242,1.13213381518389
"60","CHRVariational",0,4,"Rejection","OFF",3,1,-0.0724538584250753,0.0639976100469242,1.13213381518389
"61","CHRVariational",0,4,"SKL","IS",-1,0.5,0.880825260340943,0.66444472523482,1.32565618611789
"62","CHRVariational",0,4,"SKL","IS",-1,1,0.880825260340943,0.66444472523482,1.32565618611789
"63","CHRVariational",0,4,"SKL","IS",0,0.5,-0.0566883021247459,0.152183897664713,0.372498687408046
"64","CHRVariational",0,4,"SKL","IS",0,1,-0.0566883021247459,0.152183897664713,0.372498687408046
"65","CHRVariational",0,4,"SKL","IS",1,0.5,0.0354829064431992,0.0635122471430031,0.558678176876761
"66","CHRVariational",0,4,"SKL","IS",1,1,0.0354829064431992,0.0635122471430031,0.558678176876761
"67","CHRVariational",0,4,"SKL","IS",2,0.5,-0.0896071657293966,0.18244588802228,0.491143794473756
"68","CHRVariational",0,4,"SKL","IS",2,1,-0.0896071657293966,0.18244588802228,0.491143794473756
"69","CHRVariational",0,4,"SKL","IS",3,0.5,-0.117250288644255,0.263349846990334,0.445226340490559
"70","CHRVariational",0,4,"SKL","IS",3,1,-0.117250288644255,0.263349846990334,0.445226340490559
"71","CHRVariational",0,4,"SKL","MCMC",-1,0.5,4.46255734114454,1.76997619711985,2.52125274249796
"72","CHRVariational",0,4,"SKL","MCMC",-1,1,4.46255734114454,1.76997619711985,2.52125274249796
"73","CHRVariational",0,4,"SKL","MCMC",0,0.5,-0.648192154025007,0.568211309589487,1.1407589801289
"74","CHRVariational",0,4,"SKL","MCMC",0,1,-0.648192154025007,0.568211309589486,1.1407589801289
"75","CHRVariational",0,4,"SKL","MCMC",1,0.5,0.513851901958139,0.404584660989988,1.27007262386266
"76","CHRVariational",0,4,"SKL","MCMC",1,1,0.513851901958139,0.404584660989988,1.27007262386266
"77","CHRVariational",0,4,"SKL","MCMC",2,0.5,-0.921423566626854,0.778033023458599,1.18429878789828
"78","CHRVariational",0,4,"SKL","MCMC",2,1,-0.921423566626854,0.778033023458599,1.18429878789828
"79","CHRVariational",0,4,"SKL","MCMC",3,0.5,-0.888248742613058,1.2519526426832,0.709490688648858
"80","CHRVariational",0,4,"SKL","MCMC",3,1,-0.888248742613058,1.2519526426832,0.709490688648858
"81","CHRVariational",0,4,"SKL","OFF",-1,0.5,4.42101225961161,1.77618735632267,2.48904612673556
"82","CHRVariational",0,4,"SKL","OFF",-1,1,4.42101225961161,1.77618735632267,2.48904612673556
"83","CHRVariational",0,4,"SKL","OFF",0,0.5,-0.651558142451634,0.570806195245251,1.14146999082883
"84","CHRVariational",0,4,"SKL","OFF",0,1,-0.651558142451634,0.570806195245251,1.14146999082883
"85","CHRVariational",0,4,"SKL","OFF",1,0.5,0.517864300148877,0.407688566278573,1.27024484614813
"86","CHRVariational",0,4,"SKL","OFF",1,1,0.517864300148877,0.407688566278573,1.27024484614813
"87","CHRVariational",0,4,"SKL","OFF",2,0.5,-0.930072003066046,0.784733316961543,1.18520774250703
"88","CHRVariational",0,4,"SKL","OFF",2,1,-0.930072003066046,0.784733316961543,1.18520774250703
"89","CHRVariational",0,4,"SKL","OFF",3,0.5,-0.897229191404671,1.25729814268779,0.713616890808903
"90","CHRVariational",0,4,"SKL","OFF",3,1,-0.897229191404671,1.25729814268779,0.713616890808903
"91","CHRVariational",0,8,"ApproxRejection","IS",-1,0.5,0.30072734337823,0.108341074630698,2.77574635846393
"92","CHRVariational",0,8,"ApproxRejection","IS",-1,1,0.30072734337823,0.108341074630698,2.77574635846393
"93","CHRVariational",0,8,"ApproxRejection","IS",0,0.5,-0.0124353950977285,0.0225532721241237,0.551378754678672
"94","CHRVariational",0,8,"ApproxRejection","IS",0,1,-0.0124353950977285,0.0225532721241237,0.551378754678672
"95","CHRVariational",0,8,"ApproxRejection","IS",1,0.5,0.00812144195227135,0.00902391353249739,0.89999110951407
"96","CHRVariational",0,8,"ApproxRejection","IS",1,1,0.00812144195227135,0.00902391353249739,0.89999110951407
"97","CHRVariational",0,8,"ApproxRejection","IS",2,0.5,-0.0175355828398723,0.0246475608325484,0.711453070711793
"98","CHRVariational",0,8,"ApproxRejection","IS",2,1,-0.0175355828398723,0.0246475608325484,0.711453070711793
"99","CHRVariational",0,8,"ApproxRejection","IS",3,0.5,-0.0229062743722168,0.0381951312215113,0.599717127279199
"100","CHRVariational",0,8,"ApproxRejection","IS",3,1,-0.0229062743722168,0.0381951312215113,0.599717127279199
"101","CHRVariational",0,8,"ApproxRejection","MCMC",-1,0.5,0.365074050887746,0.0934421565926399,3.90695232430564
"102","CHRVariational",0,8,"ApproxRejection","MCMC",-1,1,0.365074050887746,0.0934421565926399,3.90695232430564
"103","CHRVariational",0,8,"ApproxRejection","MCMC",0,0.5,-0.0165072759599914,0.0178373168103391,0.925434925864145
"104","CHRVariational",0,8,"ApproxRejection","MCMC",0,1,-0.0165072759599914,0.0178373168103391,0.925434925864146
"105","CHRVariational",0,8,"ApproxRejection","MCMC",1,0.5,0.0112723630564763,0.00690563653598542,1.63234236232037
"106","CHRVariational",0,8,"ApproxRejection","MCMC",1,1,0.0112723630564763,0.00690563653598541,1.63234236232037
"107","CHRVariational",0,8,"ApproxRejection","MCMC",2,0.5,-0.0253813312143733,0.0222682587689528,1.13979864693152
"108","CHRVariational",0,8,"ApproxRejection","MCMC",2,1,-0.0253813312143733,0.0222682587689528,1.13979864693152
